,m_100
ATVI,0.004222721
ADBE,0.01713794
AMD,0.004037216
ALXN,0.002450469
ALGN,0
GOOGL,0.056853612
GOOG,0.029693469
AMZN,0.095610457
AMGN,0.013637857
ADI,0
ANSS,0
AAPL,0.102013079
AMAT,0.003550009
ASML,0.001350956
ADSK,0.003924964
ADP,0.014758795
BIDU,0.005130106
BIIB,0.00666017
BMRN,0.003958786
BKNG,0.011348869
AVGO,0.012869649
CDNS,0.003818294
CDW,0
CERN,0
CHTR,0.007943261
CHKP,0.001637594
CTAS,0.002308454
CSCO,0.027210231
CTXS,0.002542427
CTSH,0.003697685
CMCSA,0.02322016
CPRT,0
COST,0.01131432
CSX,0.010324135
DXCM,0.001428788
DOCU,0
DLTR,0.006826663
EBAY,0.00505594
EA,0.002389057
EXC,0.004071143
EXPE,0.002746504
FB,0.04732341
FAST,0.00186557
FISV,0.00368953
GILD,0.01210967
IDXX,0.00071787
ILMN,0.0053841
INCY,0.001702605
INTC,0.032401961
INTU,0.007670174
ISRG,0.011000168
JD,0.005168049
KLAC,0.005196537
KHC,0.006509563
LRCX,0.002483134
LBTYA,0
LBTYK,0.002945637
LULU,0.002368003
MAR,0.0090729
MXIM,0.010521431
MELI,0.00211949
MCHP,0.004217381
MU,0.005327107
MSFT,0.10135873
MRNA,0.000389434
MDLZ,0.01392837
MNST,0.001229951
NTES,0.003123512
NFLX,0.016272864
NVDA,0.009578588
NXPI,0.002318366
ORLY,0.003672081
PCAR,0.004098103
PAYX,0.006407098
PYPL,0.020382193
PEP,0.015870012
PDD,2.11E-05
QCOM,0.011140081
REGN,0.005593962
ROST,0.004573842
SGEN,0
SIRI,0.006041403
SWKS,0
SPLK,0
SBUX,0.005012283
SNPS,0.005117284
TMUS,0.010324266
TTWO,0.002147365
TSLA,0.006510395
TXN,0.012616944
TCOM,0.000462649
ULTA,0.00383335
VRSN,0.006179905
VRSK,0.006636551
VRTX,0.008831552
WBA,0.0091304
WDAY,0.002555198
WDC,0
XEL,0.003661891
XLNX,0.005442239